# graph=buzzardos-guest	target=x86_64-unknown-linux-gnu	lock_sha256=2da24166e73630e224b55194ac670630a9aa7ff6b20ed7e3e77f8a0ab2a2212f	external_packages=63
name	version	source	checksum	license	normalized_license	repository	vcs_commit	path_in_vcs	notice_files
adler2	2.0.1	registry+https://github.com/rust-lang/crates.io-index	320119579fcad9c21884f5c4861d16174d0e06250625266f50fe6898340abefa	0BSD OR MIT OR Apache-2.0	0BSD OR MIT OR Apache-2.0	https://github.com/oyvindln/adler2	89a031a0f42eeff31c70dc598b398cbf31f1680f		LICENSE-0BSD@sha256:861399f8c21c042b110517e76dc6b63a2b334276c8cf17412fc3c8908ca8dc17;LICENSE-APACHE@sha256:8ada45cd9f843acf64e4722ae262c622a2b3b3007c7310ef36ac1061a30f6adb;LICENSE-MIT@sha256:23f18e03dc49df91622fe2a76176497404e46ced8a715d9d2b67a7446571cca3
autocfg	1.5.1	registry+https://github.com/rust-lang/crates.io-index	f2032f911046de80f0a198e0901378627c33f59ea0ac00e363d481118bd70a53	Apache-2.0 OR MIT	Apache-2.0 OR MIT	https://github.com/cuviper/autocfg	2799b09c24e6632f8e653c5cd8fc303e85a906ba		LICENSE-APACHE@sha256:a60eea817514531668d7e00765731449fe14d059d3249e0bc93b36de45f759f2;LICENSE-MIT@sha256:27995d58ad5c1145c1a8cd86244ce844886958a35eb2b78c6b772748669999ac
bitflags	2.13.1	registry+https://github.com/rust-lang/crates.io-index	b588b76d00fde79687d7646a9b5bdf3cc0f655e0bbd080335a95d7e96f3587da	MIT OR Apache-2.0	MIT OR Apache-2.0	https://github.com/bitflags/bitflags	f92a2921b41644b02ca5d50a6ace542e309e6a6f		LICENSE-APACHE@sha256:a60eea817514531668d7e00765731449fe14d059d3249e0bc93b36de45f759f2;LICENSE-MIT@sha256:6485b8ed310d3f0340bf1ad1f47645069ce4069dcc6bb46c7d5c6faf41de1fdb
bytemuck	1.25.2	registry+https://github.com/rust-lang/crates.io-index	95832e849adfb21180ccb6826a99da14e5d266ae5c2e668e1602cf234f153797	Zlib OR Apache-2.0 OR MIT	Zlib OR Apache-2.0 OR MIT	https://github.com/Lokathor/bytemuck	f363643e951a7ac9e4b9921de982f2b0918902e3		LICENSE-APACHE@sha256:e3ba223bb1423f0aad8c3dfce0fe3148db48926d41e6fbc3afbbf5ff9e1c89cb;LICENSE-MIT@sha256:9df9ba60a11af705f2e451b53762686e615d86f76b169cf075c3237730dbd7e2;LICENSE-ZLIB@sha256:84b34dd7608f7fb9b17bd588a6bf392bf7de504e2716f024a77d89f1b145a151
byteorder-lite	0.1.0	registry+https://github.com/rust-lang/crates.io-index	8f1fe948ff07f4bd06c30984e69f5b4899c516a3ef74f34df92a2df2ab535495	Unlicense OR MIT	Unlicense OR MIT	https://github.com/image-rs/byteorder-lite	7d44da06a48fe10d7e23efd9a932d18a7a2def63		LICENSE-MIT@sha256:0f96a83840e146e43c0ec96a22ec1f392e0680e6c1226e6f3ba87e0740af850f
cc	1.4.2	registry+https://github.com/rust-lang/crates.io-index	5d262e149917187838d5b42777c8253bcb64500067342904e7d429499a6f277e	MIT OR Apache-2.0	MIT OR Apache-2.0	https://github.com/rust-lang/cc-rs	a91e05ec40f26d4637d4bff9e9764221d0a59dd8		LICENSE-APACHE@sha256:a60eea817514531668d7e00765731449fe14d059d3249e0bc93b36de45f759f2;LICENSE-MIT@sha256:378f5840b258e2779c39418f3f2d7b2ba96f1c7917dd6be0713f88305dbda397
cfg-if	1.0.4	registry+https://github.com/rust-lang/crates.io-index	9330f8b2ff13f34540b44e946ef35111825727b38d33286ef986142615121801	MIT OR Apache-2.0	MIT OR Apache-2.0	https://github.com/rust-lang/cfg-if	3510ca6abea34cbbc702509a4e50ea9709925eda		LICENSE-APACHE@sha256:a60eea817514531668d7e00765731449fe14d059d3249e0bc93b36de45f759f2;LICENSE-MIT@sha256:378f5840b258e2779c39418f3f2d7b2ba96f1c7917dd6be0713f88305dbda397
crc32fast	1.5.0	registry+https://github.com/rust-lang/crates.io-index	9481c1c90cbf2ac953f07c8d4a58aa3945c425b7185c9154d67a65e4230da511	MIT OR Apache-2.0	MIT OR Apache-2.0	https://github.com/srijs/rust-crc32fast	dbf4f76cd71cdcc57d9164cbd46890d53ce0423c		LICENSE-APACHE@sha256:c6596eb7be8581c18be736c846fb9173b69eccf6ef94c5135893ec56bd92ba08;LICENSE-MIT@sha256:61d383b05b87d78f94d2937e2580cce47226d17823c0430fbcad09596537efcf
downcast-rs	1.2.1	registry+https://github.com/rust-lang/crates.io-index	75b325c5dbd37f80359721ad39aca5a29fb04c89279657cffdda8736d0c0b9d2	MIT/Apache-2.0	MIT OR Apache-2.0	https://github.com/marcianx/downcast-rs	c4c48bad50482df2544115ba971acfd5916e6140		LICENSE-APACHE@sha256:8173d5c29b4f956d532781d2b86e4e30f83e6b7878dce18c919451d6ba707c90;LICENSE-MIT@sha256:fb252fecf98d9af8f1d9201c5860319a514f5a8a24700dc84fc6ea287a7a4958
equivalent	1.0.2	registry+https://github.com/rust-lang/crates.io-index	877a4ace8713b0bcf2a4e7eec82529c029f1d0619886d18145fea96c3ffe5c0f	Apache-2.0 OR MIT	Apache-2.0 OR MIT	https://github.com/indexmap-rs/equivalent	44cdd44f8b8ebb5f9ae096c7550a5e74ffb7d6ae		LICENSE-APACHE@sha256:a60eea817514531668d7e00765731449fe14d059d3249e0bc93b36de45f759f2;LICENSE-MIT@sha256:7365cc8878a1d7ce155a58c4ca09c3d7a6be413efa5334a80ea842912b669349
