# graph=cua-driver	target=x86_64-unknown-linux-gnu	lock_sha256=a510513612cbb9c93b9f24b2c6f329c64c07013f333b9abcc3dcea0bccf9b13a	external_packages=320
name	version	source	checksum	license	normalized_license	repository	vcs_commit	path_in_vcs	notice_files
adler2	2.0.1	registry+https://github.com/rust-lang/crates.io-index	320119579fcad9c21884f5c4861d16174d0e06250625266f50fe6898340abefa	0BSD OR MIT OR Apache-2.0	0BSD OR MIT OR Apache-2.0	https://github.com/oyvindln/adler2	89a031a0f42eeff31c70dc598b398cbf31f1680f		LICENSE-0BSD@sha256:861399f8c21c042b110517e76dc6b63a2b334276c8cf17412fc3c8908ca8dc17;LICENSE-APACHE@sha256:8ada45cd9f843acf64e4722ae262c622a2b3b3007c7310ef36ac1061a30f6adb;LICENSE-MIT@sha256:23f18e03dc49df91622fe2a76176497404e46ced8a715d9d2b67a7446571cca3
ahash	0.8.12	registry+https://github.com/rust-lang/crates.io-index	5a15f179cd60c4584b8a8c596927aadc462e27f2ca70c04e0071964a73ba7a75	MIT OR Apache-2.0	MIT OR Apache-2.0	https://github.com/tkaitchuck/ahash	9aa1ba20f05ed582eda04ea625d5658c92195a57		LICENSE-APACHE@sha256:a60eea817514531668d7e00765731449fe14d059d3249e0bc93b36de45f759f2;LICENSE-MIT@sha256:0444c6991eead6822f7b9102e654448d51624431119546492e8b231db42c48bb
aho-corasick	1.1.4	registry+https://github.com/rust-lang/crates.io-index	ddd31a130427c27518df266943a5308ed92d4b226cc639f5a8f1002816174301	Unlicense OR MIT	Unlicense OR MIT	https://github.com/BurntSushi/aho-corasick	17f8b32e3b7c845ef3c5429b823804f552f14ec9		COPYING@sha256:01c266bced4a434da0051174d6bee16a4c82cf634e2679b6155d40d75012390f;LICENSE-MIT@sha256:0f96a83840e146e43c0ec96a22ec1f392e0680e6c1226e6f3ba87e0740af850f
allocator-api2	0.2.21	registry+https://github.com/rust-lang/crates.io-index	683d7910e743518b0e34f1186f92494becacb047c7b6bf616c96772180fef923	MIT OR Apache-2.0	MIT OR Apache-2.0	https://github.com/zakarumych/allocator-api2	63cd7fcc2f8854b5821c7054d026e8a4647acde1		LICENSE-APACHE@sha256:20fe7b00e904ed690e3b9fd6073784d3fc428141dbd10b81c01fd143d0797f58;LICENSE-MIT@sha256:36516aefdc84c5d5a1e7485425913a22dbda69eb1930c5e84d6ae4972b5194b9
anyhow	1.0.102	registry+https://github.com/rust-lang/crates.io-index	7f202df86484c868dbad7eaa557ef785d5c66295e41b460ef922eca0723b842c	MIT OR Apache-2.0	MIT OR Apache-2.0	https://github.com/dtolnay/anyhow	5c657b32522023a9f7ef883fb08582fd8e656b1a		LICENSE-APACHE@sha256:62c7a1e35f56406896d7aa7ca52d0cc0d272ac022b5d2796e7d6905db8a3636a;LICENSE-MIT@sha256:23f18e03dc49df91622fe2a76176497404e46ced8a715d9d2b67a7446571cca3
arrayref	0.3.9	registry+https://github.com/rust-lang/crates.io-index	76a2e8124351fda1ef8aaaa3bbd7ebbcb486bbcd4225aca0aa0d84bb2db8fecb	BSD-2-Clause	BSD-2-Clause	https://github.com/droundy/arrayref	f8d0299d863922db6c409d08098941e833b70d69		LICENSE@sha256:1bc7e6f475b3ec99b7e2643411950ae2368c250dd4c5c325f80f9811362a94a1
arrayvec	0.7.6	registry+https://github.com/rust-lang/crates.io-index	7c02d123df017efcdfbd739ef81735b36c5ba83ec3c59c80a9d7ecc718f92e50	MIT OR Apache-2.0	MIT OR Apache-2.0	https://github.com/bluss/arrayvec	0aede877fe0bfb1ba5e3c2024df8c0958d503a83		LICENSE-APACHE@sha256:a60eea817514531668d7e00765731449fe14d059d3249e0bc93b36de45f759f2;LICENSE-MIT@sha256:4da95ec4ecb65b738d470b7d762894ad9c97da93e6cbfb18b570fc2c96f4b871
ashpd	0.13.11	registry+https://github.com/rust-lang/crates.io-index	340e0f6bf7f9ee78549c61454f1460a3ed97c011902ee76b58301bbc6d502a32	MIT	MIT	https://github.com/bilelmoussaoui/ashpd	3ee41bb02b79eeccddc5d86ae52998d8225d1f6b	client	LICENSE@sha256:ae26bc7b1bc91fb8648f6a298decbb1a77090a56c9d04e2c23b8365e5f54acb5
async-broadcast	0.7.2	registry+https://github.com/rust-lang/crates.io-index	435a87a52755b8f27fcf321ac4f04b2802e337c8c4872923137471ec39c37532	MIT OR Apache-2.0	MIT OR Apache-2.0	https://github.com/smol-rs/async-broadcast	f7a99132b7e12cb03945013df78b93a35ceafbc1		LICENSE-APACHE@sha256:e4705ddab847449a2cdcb3c88b005ea10330aa249d9148ca2eef9c84c5d29895;LICENSE-MIT@sha256:24e5860bf589d8501643e6ea51ffb3df66db2867492b09033d486183efbfa970
async-channel	2.5.0	registry+https://github.com/rust-lang/crates.io-index	924ed96dd52d1b75e9c1a3e6275715fd320f5f9439fb5a4a11fa51f4221158d2	Apache-2.0 OR MIT	Apache-2.0 OR MIT	https://github.com/smol-rs/async-channel	35a63c456aaa1906015f5a825e7e35505a749afa		LICENSE-APACHE@sha256:a60eea817514531668d7e00765731449fe14d059d3249e0bc93b36de45f759f2;LICENSE-MIT@sha256:23f18e03dc49df91622fe2a76176497404e46ced8a715d9d2b67a7446571cca3
async-compat	0.2.5	registry+https://github.com/rust-lang/crates.io-index	a1ba85bc55464dcbf728b56d97e119d673f4cf9062be330a9a26f3acf504a590	Apache-2.0 OR MIT	Apache-2.0 OR MIT	https://github.com/smol-rs/async-compat	9761a9dd28b6fd8ecc4523f502a8166a8727decd		LICENSE-APACHE@sha256:a60eea817514531668d7e00765731449fe14d059d3249e0bc93b36de45f759f2;LICENSE-MIT@sha256:23f18e03dc49df91622fe2a76176497404e46ced8a715d9d2b67a7446571cca3
async-executor	1.14.0	registry+https://github.com/rust-lang/crates.io-index	c96bf972d85afc50bf5ab8fe2d54d1586b4e0b46c97c50a0c9e71e2f7bcd812a	Apache-2.0 OR MIT	Apache-2.0 OR MIT	https://github.com/smol-rs/async-executor	543403e773ec4941a6272e29c2ff649bfd01a4f8		LICENSE-APACHE@sha256:a60eea817514531668d7e00765731449fe14d059d3249e0bc93b36de45f759f2;LICENSE-MIT@sha256:23f18e03dc49df91622fe2a76176497404e46ced8a715d9d2b67a7446571cca3
async-io	2.6.0	registry+https://github.com/rust-lang/crates.io-index	456b8a8feb6f42d237746d4b3e9a178494627745c3c56c6ea55d92ba50d026fc	Apache-2.0 OR MIT	Apache-2.0 OR MIT	https://github.com/smol-rs/async-io	576b470ca3cadefdec8b169279df23c9a0a63495		LICENSE-APACHE@sha256:a60eea817514531668d7e00765731449fe14d059d3249e0bc93b36de45f759f2;LICENSE-MIT@sha256:23f18e03dc49df91622fe2a76176497404e46ced8a715d9d2b67a7446571cca3
async-lock	3.4.2	registry+https://github.com/rust-lang/crates.io-index	290f7f2596bd5b78a9fec8088ccd89180d7f9f55b94b0576823bbbdc72ee8311	Apache-2.0 OR MIT	Apache-2.0 OR MIT	https://github.com/smol-rs/async-lock	f07ba65a02ec3eca32fa95e6d13dc754d619bb35		LICENSE-APACHE@sha256:a60eea817514531668d7e00765731449fe14d059d3249e0bc93b36de45f759f2;LICENSE-MIT@sha256:23f18e03dc49df91622fe2a76176497404e46ced8a715d9d2b67a7446571cca3
