# graph=host-workspace	target=x86_64-unknown-linux-gnu	lock_sha256=c4fad3280c3402fc003cc1f3864d13f7650399896f3afe980c595316bcd2994b	external_packages=144
name	version	source	checksum	license	normalized_license	repository	vcs_commit	path_in_vcs	notice_files
adler2	2.0.1	registry+https://github.com/rust-lang/crates.io-index	320119579fcad9c21884f5c4861d16174d0e06250625266f50fe6898340abefa	0BSD OR MIT OR Apache-2.0	0BSD OR MIT OR Apache-2.0	https://github.com/oyvindln/adler2	89a031a0f42eeff31c70dc598b398cbf31f1680f		LICENSE-0BSD@sha256:861399f8c21c042b110517e76dc6b63a2b334276c8cf17412fc3c8908ca8dc17;LICENSE-APACHE@sha256:8ada45cd9f843acf64e4722ae262c622a2b3b3007c7310ef36ac1061a30f6adb;LICENSE-MIT@sha256:23f18e03dc49df91622fe2a76176497404e46ced8a715d9d2b67a7446571cca3
anstream	1.0.0	registry+https://github.com/rust-lang/crates.io-index	824a212faf96e9acacdbd09febd34438f8f711fb84e09a8916013cd7815ca28d	MIT OR Apache-2.0	MIT OR Apache-2.0	https://github.com/rust-cli/anstyle.git	3048fe7820055a6c995170d822e725c62b3d63e1	crates/anstream	LICENSE-APACHE@sha256:c6596eb7be8581c18be736c846fb9173b69eccf6ef94c5135893ec56bd92ba08;LICENSE-MIT@sha256:6efb0476a1cc085077ed49357026d8c173bf33017278ef440f222fb9cbcb66e6
anstyle	1.0.14	registry+https://github.com/rust-lang/crates.io-index	940b3a0ca603d1eade50a4846a2afffd5ef57a9feac2c0e2ec2e14f9ead76000	MIT OR Apache-2.0	MIT OR Apache-2.0	https://github.com/rust-cli/anstyle.git	0fe6f0ff6d52e9f91d4071199bd0b24bd46f3d35	crates/anstyle	LICENSE-APACHE@sha256:c6596eb7be8581c18be736c846fb9173b69eccf6ef94c5135893ec56bd92ba08;LICENSE-MIT@sha256:6efb0476a1cc085077ed49357026d8c173bf33017278ef440f222fb9cbcb66e6
anstyle-parse	1.0.0	registry+https://github.com/rust-lang/crates.io-index	52ce7f38b242319f7cabaa6813055467063ecdc9d355bbb4ce0c68908cd8130e	MIT OR Apache-2.0	MIT OR Apache-2.0	https://github.com/rust-cli/anstyle.git	3048fe7820055a6c995170d822e725c62b3d63e1	crates/anstyle-parse	LICENSE-APACHE@sha256:c6596eb7be8581c18be736c846fb9173b69eccf6ef94c5135893ec56bd92ba08;LICENSE-MIT@sha256:6efb0476a1cc085077ed49357026d8c173bf33017278ef440f222fb9cbcb66e6
anstyle-query	1.1.5	registry+https://github.com/rust-lang/crates.io-index	40c48f72fd53cd289104fc64099abca73db4166ad86ea0b4341abe65af83dadc	MIT OR Apache-2.0	MIT OR Apache-2.0	https://github.com/rust-cli/anstyle.git	368a8719474357f9d54be800b4163c9074561e37	crates/anstyle-query	LICENSE-APACHE@sha256:c6596eb7be8581c18be736c846fb9173b69eccf6ef94c5135893ec56bd92ba08;LICENSE-MIT@sha256:6efb0476a1cc085077ed49357026d8c173bf33017278ef440f222fb9cbcb66e6
anyhow	1.0.104	registry+https://github.com/rust-lang/crates.io-index	330a5ed07fa54e4702c9d6c4174f74427fc0ef6e214bbd677ae50a5099946470	MIT OR Apache-2.0	MIT OR Apache-2.0	https://github.com/dtolnay/anyhow	1dbe1862aae650423e3361fbd20b7d17c5109cc3		LICENSE-APACHE@sha256:62c7a1e35f56406896d7aa7ca52d0cc0d272ac022b5d2796e7d6905db8a3636a;LICENSE-MIT@sha256:23f18e03dc49df91622fe2a76176497404e46ced8a715d9d2b67a7446571cca3
autocfg	1.5.1	registry+https://github.com/rust-lang/crates.io-index	f2032f911046de80f0a198e0901378627c33f59ea0ac00e363d481118bd70a53	Apache-2.0 OR MIT	Apache-2.0 OR MIT	https://github.com/cuviper/autocfg	2799b09c24e6632f8e653c5cd8fc303e85a906ba		LICENSE-APACHE@sha256:a60eea817514531668d7e00765731449fe14d059d3249e0bc93b36de45f759f2;LICENSE-MIT@sha256:27995d58ad5c1145c1a8cd86244ce844886958a35eb2b78c6b772748669999ac
bitflags	2.13.1	registry+https://github.com/rust-lang/crates.io-index	b588b76d00fde79687d7646a9b5bdf3cc0f655e0bbd080335a95d7e96f3587da	MIT OR Apache-2.0	MIT OR Apache-2.0	https://github.com/bitflags/bitflags	f92a2921b41644b02ca5d50a6ace542e309e6a6f		LICENSE-APACHE@sha256:a60eea817514531668d7e00765731449fe14d059d3249e0bc93b36de45f759f2;LICENSE-MIT@sha256:6485b8ed310d3f0340bf1ad1f47645069ce4069dcc6bb46c7d5c6faf41de1fdb
block-buffer	0.10.4	registry+https://github.com/rust-lang/crates.io-index	3078c7629b62d3f0439517fa394996acacc5cbc91c5a20d8c658e77abd503a71	MIT OR Apache-2.0	MIT OR Apache-2.0	https://github.com/RustCrypto/utils	6d35952d3d3b124bc1049ad6fb406b42b1ce4bfe	block-buffer	LICENSE-APACHE@sha256:a9040321c3712d8fd0b09cf52b17445de04a23a10165049ae187cd39e5c86be5;LICENSE-MIT@sha256:d5c22aa3118d240e877ad41c5d9fa232f9c77d757d4aac0c2f943afc0a95e0ef
bytemuck	1.25.2	registry+https://github.com/rust-lang/crates.io-index	95832e849adfb21180ccb6826a99da14e5d266ae5c2e668e1602cf234f153797	Zlib OR Apache-2.0 OR MIT	Zlib OR Apache-2.0 OR MIT	https://github.com/Lokathor/bytemuck	f363643e951a7ac9e4b9921de982f2b0918902e3		LICENSE-APACHE@sha256:e3ba223bb1423f0aad8c3dfce0fe3148db48926d41e6fbc3afbbf5ff9e1c89cb;LICENSE-MIT@sha256:9df9ba60a11af705f2e451b53762686e615d86f76b169cf075c3237730dbd7e2;LICENSE-ZLIB@sha256:84b34dd7608f7fb9b17bd588a6bf392bf7de504e2716f024a77d89f1b145a151
