adwaita-icon-theme	50.0-2
apt	3.3.2
at-spi2-common	2.61.1-1
at-spi2-core	2.61.1-1
baloo6	6.28.0-1
base-files	14.2
base-passwd	3.6.8
bash	5.3-3
bsdextrautils	2.42.2-2
bsdutils	1:2.42.2-2
bubblewrap	0.11.2-2
ca-certificates	20260601
chromium	151.0.7922.71-1
chromium-common	151.0.7922.71-1
coreutils	9.10-1
cuda-cudart-13-1	13.1.80-1
cuda-toolkit-13-1-config-common	13.1.80-1
cuda-toolkit-13-config-common	13.3.29-1
cuda-toolkit-config-common	13.3.29-1
curl	8.21.0-2
dash	0.5.12-12
dbus	1.16.2-5+b1
dbus-bin	1.16.2-5+b1
dbus-daemon	1.16.2-5+b1
dbus-session-bus-common	1.16.2-5
dbus-system-bus-common	1.16.2-5
dbus-user-session	1.16.2-5+b1
dbus-x11	1.16.2-5+b1
dconf-gsettings-backend:amd64	0.49.0-4+b1
dconf-service	0.49.0-4+b1
debconf	1.5.92
debian-archive-keyring	2025.1
debianutils	5.23.2
desktop-file-utils	0.28-1
diffutils	1:3.12-1
dirmngr	2.4.9-7
dolphin	4:26.04.0-1
dolphin-data	4:26.04.0-1
dpkg	1.23.7
exo-utils	4.20.0-1+b2
ffmpeg	7:8.1.2-2+b1
findutils	4.11.0-2
firefox-esr	140.13.0esr-2
fontconfig	2.17.1-5
fontconfig-config	2.17.1-5
fonts-dejavu-core	2.37-9
fonts-dejavu-mono	2.37-9
fonts-noto-cjk	1:20240730+repack1-1
fonts-noto-color-emoji	2.051-1
fonts-noto-core	20201225-6
fonts-noto-mono	20201225-6
foot	1.27.0-1
fuse3	3.18.2-2
gcc-16-base:amd64	16.1.0-3
gir1.2-atspi-2.0:amd64	2.61.1-1
gir1.2-freedesktop:amd64	1.86.0-6+b2
gir1.2-girepository-3.0:amd64	2.88.3-2
gir1.2-glib-2.0:amd64	2.88.3-2
glib-networking-common	2.80.1-1
glib-networking-services	2.80.1-1+b2
glib-networking:amd64	2.80.1-1+b2
glycin-loaders	2.1.5+ds-2
glycin-thumbnailers	2.1.5+ds-2
gnome-themes-extra-data	3.28-5
gnupg	2.4.9-7
gnupg-l10n	2.4.9-7
gpg	2.4.9-7
gpg-agent	2.4.9-7
gpgconf	2.4.9-7
gpgsm	2.4.9-7
grep	3.12-1
grim	1.5.0+ds-1
groff-base	1.24.1-1
gsettings-desktop-schemas	50.1-2
gstreamer1.0-pipewire:amd64	1.6.8-1
gstreamer1.0-plugins-bad:amd64	1.28.5-2
gstreamer1.0-plugins-base:amd64	1.28.5-1
gstreamer1.0-plugins-good:amd64	1.28.5-1
gstreamer1.0-tools	1.28.5-1
gtk-update-icon-cache	4.22.4+ds-1
gzip	1.13-1
hicolor-icon-theme	0.18-2
hostname	3.25
init-system-helpers	1.69
iso-codes	4.20.1-1
kded6	6.28.0-1
kio6	6.28.0-1
kwallet6	6.28.0-1
libaa1:amd64	1.4p5-51.1+b2
libabsl20260526:amd64	20260526.0-2
libacl1:amd64	2.4.0-1
libaom3:amd64	3.14.1-1
libapparmor1:amd64	4.1.7-5
libappimage1.0abi1t64:amd64	1.0.4-5-7+b1
libapt-pkg7.0:amd64	3.3.2
libarchive13t64:amd64	3.8.9-1
libasound2-data	1.2.16.1-1
libasound2t64:amd64	1.2.16.1-1
libass9:amd64	1:0.17.5-1
libassuan9:amd64	3.0.2-2+b2
libasyncns0:amd64	0.8-8
libatk-adaptor:amd64	2.61.1-1
libatk-bridge2.0-0t64:amd64	2.61.1-1
libatk1.0-0t64:amd64	2.61.1-1
libatomic1:amd64	16.1.0-3
libatspi2.0-0t64:amd64	2.61.1-1
libattr1:amd64	1:2.6.0-1
libaudit-common	1:4.1.2-1
libaudit1:amd64	1:4.1.2-1+b1
libavahi-client3:amd64	0.8-18
libavahi-common-data:amd64	0.8-18
libavahi-common3:amd64	0.8-18
libavc1394-0:amd64	0.5.4-6
libavcodec62:amd64	7:8.1.2-2+b1
libavdevice62:amd64	7:8.1.2-2+b1
libavfilter11:amd64	7:8.1.2-2+b1
libavformat62:amd64	7:8.1.2-2+b1
libavtp0:amd64	0.2.0-2+b2
